Select 	CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Part of Term 	Title 	Days 	Time 	Cap 	Act 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
  	  	  	  	  	  	  	  	  	TR 	03:30 pm-05:25 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	ARP Analytical Reasoning
SR 	12256 	CSCE 	145 	006 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	5 	19 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	05:30 pm-07:25 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	ARP Analytical Reasoning
SR 	17307 	CSCE 	145 	007 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	23 	1 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	10:05 am-12:00 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D11 	ARP Analytical Reasoning
C 	17758 	CSCE 	145 	008 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	24 	0 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	03:30 pm-05:25 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D11 	ARP Analytical Reasoning
SR 	20160 	CSCE 	145 	009 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	22 	2 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	12:10 pm-02:05 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D11 	ARP Analytical Reasoning
SR 	20168 	CSCE 	145 	010 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	13 	11 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	11:40 am-01:35 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D29 	ARP Analytical Reasoning
C 	20169 	CSCE 	145 	011 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	24 	0 	TBA 	08/20-12/04 	SWGN 1C01 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	02:50 pm-04:45 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D29 	ARP Analytical Reasoning
SR 	27355 	CSCE 	145 	012 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	08:30 am-09:20 am 	24 	8 	16 	TBA 	08/20-12/04 	COKER 005 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	MF 	09:40 am-11:35 am 	  	  	  	TBA 	08/20-12/04 	SWGN 1D11 	ARP Analytical Reasoning
SR 	27414 	CSCE 	145 	013 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	08:30 am-09:20 am 	24 	1 	23 	TBA 	08/20-12/04 	COKER 005 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	MF 	09:40 am-11:35 am 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	ARP Analytical Reasoning
SR 	12260 	CSCE 	146 	001 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	11:40 am-12:55 pm 	24 	7 	17 	TBA 	08/20-12/04 	SWGN 1C01 	 
  	  	  	  	  	  	  	  	  	W 	08:30 am-10:25 am 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	 
C 	12262 	CSCE 	146 	002 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	11:40 am-12:55 pm 	24 	24 	0 	TBA 	08/20-12/04 	SWGN 1C01 	 
  	  	  	  	  	  	  	  	  	W 	10:50 am-12:45 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	 
SR 	12265 	CSCE 	146 	003 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	11:40 am-12:55 pm 	24 	23 	1 	TBA 	08/20-12/04 	SWGN 1C01 	 
  	  	  	  	  	  	  	  	  	W 	01:10 pm-03:05 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	 
SR 	12266 	CSCE 	146 	004 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	11:40 am-12:55 pm 	24 	22 	2 	TBA 	08/20-12/04 	SWGN 1C01 	 
  	  	  	  	  	  	  	  	  	W 	03:30 pm-05:25 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D15 	 
SR 	12278 	CSCE 	146 	005 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	11:40 am-12:55 pm 	24 	12 	12 	TBA 	08/20-12/04 	SWGN 1C01 	 
  	  	  	  	  	  	  	  	  	W 	05:50 pm-07:45 pm 	  	  	  	TBA 	08/20-12/04 	SWGN 1D29 	 
SR 	13331 	CSCE 	190 	001 	COL 	1.000 	30 - Columbia Full Term 	Computing in the Modern World 	T 	06:00 pm-07:15 pm 	300 	180 	120 	Marco Valtorta (P) 	08/20-12/04 	SWGN 1C01 	 
C 	12235 	CSCE 	201 	001 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Security 	MW 	04:25 pm-05:40 pm 	23 	23 	0 	Csilla Farkas (P) 	08/20-12/04 	SWGN 1A20 	 
C 	26308 	CSCE 	201 	002 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Security 	TR 	02:50 pm-04:05 pm 	35 	36 	-1 	TBA 	08/20-12/04 	300MN B102 	 
